dataset,model,score_optimized,score_not_optimized
diabetes,random_forest,0.6282051282051282,0.5657894736842106
diabetes,random_forest,0.6242038216560509,0.675
diabetes,random_forest,0.6540880503144653,0.670807453416149
diabetes,random_forest,0.6415094339622641,0.6787878787878788
diabetes,random_forest,0.7125,0.7134502923976608
diabetes,random_forest,0.6265060240963854,0.6785714285714285
diabetes,random_forest,0.6835443037974684,0.6987951807228916
diabetes,random_forest,0.6832298136645963,0.6751592356687897
diabetes,random_forest,0.670807453416149,0.6463414634146342
diabetes,random_forest,0.6794871794871794,0.6666666666666667
diabetes,random_forest,0.6470588235294118,0.6666666666666667
diabetes,random_forest,0.6826347305389221,0.654320987654321
diabetes,random_forest,0.5205479452054794,0.6709677419354838
diabetes,random_forest,0.6707317073170732,0.6838709677419356
diabetes,random_forest,0.7134502923976608,0.6419753086419753
diabetes,random_forest,0.6415094339622641,0.6540880503144653
diabetes,random_forest,0.6624203821656051,0.6705202312138728
diabetes,random_forest,0.6754966887417219,0.6751592356687897
diabetes,random_forest,0.6585365853658537,0.6832298136645963
diabetes,random_forest,0.6823529411764707,0.6666666666666666
diabetes,random_forest,0.670807453416149,0.6951219512195121
diabetes,random_forest,0.6064516129032258,0.6193548387096774
diabetes,random_forest,0.646341463414634,0.625
diabetes,random_forest,0.6586826347305389,0.6666666666666666
diabetes,random_forest,0.6790123456790124,0.6792452830188679
diabetes,random_forest,0.6535947712418301,0.6540880503144653
diabetes,random_forest,0.6745562130177515,0.6993865030674846
diabetes,random_forest,0.632258064516129,0.6582278481012659
diabetes,random_forest,0.6751592356687898,0.6956521739130435
diabetes,random_forest,0.7151515151515152,0.6785714285714286
diabetes,decision_tree,0.546583850931677,0.5766871165644172
diabetes,decision_tree,0.546583850931677,0.5298013245033112
diabetes,decision_tree,0.6064516129032258,0.6211180124223602
diabetes,decision_tree,0.5641025641025641,0.5605095541401274
diabetes,decision_tree,0.5609756097560975,0.6503067484662576
diabetes,decision_tree,0.6153846153846154,0.6538461538461537
diabetes,decision_tree,0.6086956521739131,0.5477707006369427
diabetes,decision_tree,0.5783132530120482,0.6358381502890175
diabetes,decision_tree,0.5660377358490567,0.5962732919254657
diabetes,decision_tree,0.5732484076433121,0.6025641025641025
diabetes,decision_tree,0.5750000000000001,0.5949367088607596
diabetes,decision_tree,0.5935483870967742,0.6127167630057804
diabetes,decision_tree,0.5874999999999999,0.576923076923077
diabetes,decision_tree,0.6274509803921569,0.6272189349112426
diabetes,decision_tree,0.6347305389221557,0.584795321637427
diabetes,decision_tree,0.5771812080536912,0.5874999999999999
diabetes,decision_tree,0.593939393939394,0.5783132530120482
diabetes,decision_tree,0.5416666666666666,0.6321839080459771
diabetes,decision_tree,0.575,0.5066666666666667
diabetes,decision_tree,0.6545454545454545,0.6046511627906976
diabetes,decision_tree,0.654320987654321,0.5555555555555556
diabetes,decision_tree,0.5454545454545455,0.5859872611464968
diabetes,decision_tree,0.5479452054794521,0.5512820512820513
diabetes,decision_tree,0.5939393939393939,0.5818181818181818
diabetes,decision_tree,0.5609756097560975,0.5542168674698795
diabetes,decision_tree,0.6867469879518073,0.6624203821656051
diabetes,decision_tree,0.5952380952380952,0.5714285714285714
diabetes,decision_tree,0.5569620253164557,0.535031847133758
diabetes,decision_tree,0.5833333333333334,0.546583850931677
diabetes,decision_tree,0.5205479452054794,0.6143790849673203
diabetes,mlp,0.6025641025641025,0.6075949367088608
diabetes,mlp,0.65,0.646341463414634
diabetes,mlp,0.6818181818181818,0.717391304347826
diabetes,mlp,0.7167630057803468,0.6976744186046511
diabetes,mlp,0.6946107784431137,0.7023809523809523
diabetes,mlp,0.6582278481012659,0.675
diabetes,mlp,0.611764705882353,0.6352941176470588
diabetes,mlp,0.6549707602339181,0.6547619047619048
diabetes,mlp,0.6787878787878787,0.6666666666666666
diabetes,mlp,0.6369426751592356,0.6282051282051282
diabetes,mlp,0.6107784431137725,0.6190476190476192
diabetes,mlp,0.670807453416149,0.6583850931677019
diabetes,mlp,0.703030303030303,0.7065868263473054
diabetes,mlp,0.6503067484662577,0.6459627329192547
diabetes,mlp,0.6514285714285715,0.6380368098159509
diabetes,mlp,0.6064516129032258,0.6037735849056604
diabetes,mlp,0.5974025974025973,0.5962732919254657
diabetes,mlp,0.6857142857142857,0.67816091954023
diabetes,mlp,0.6514285714285715,0.6285714285714286
diabetes,mlp,0.6751592356687898,0.6871165644171778
diabetes,mlp,0.6547619047619048,0.6627218934911242
diabetes,mlp,0.6125,0.6219512195121951
diabetes,mlp,0.6956521739130435,0.6913580246913581
diabetes,mlp,0.6511627906976744,0.6627906976744186
diabetes,mlp,0.6369426751592356,0.6375
diabetes,mlp,0.6060606060606061,0.6012269938650308
diabetes,mlp,0.6153846153846153,0.6143790849673203
diabetes,mlp,0.6092715231788078,0.5974025974025974
diabetes,mlp,0.5850340136054422,0.5810810810810811
diabetes,mlp,0.6588235294117647,0.6707317073170732
diabetes,knn,0.6341463414634146,0.6341463414634146
diabetes,knn,0.6923076923076923,0.6923076923076923
diabetes,knn,0.6424242424242423,0.6424242424242423
diabetes,knn,0.6707317073170732,0.6707317073170732
diabetes,knn,0.625,0.625
diabetes,knn,0.6583850931677019,0.6583850931677019
diabetes,knn,0.6941176470588235,0.6863905325443788
diabetes,knn,0.6315789473684211,0.627906976744186
diabetes,knn,0.6289308176100629,0.6289308176100629
diabetes,knn,0.6369426751592356,0.6369426751592356
diabetes,knn,0.6037735849056604,0.6037735849056604
diabetes,knn,0.6473988439306358,0.6473988439306358
diabetes,knn,0.6923076923076923,0.7006369426751592
diabetes,knn,0.6496815286624203,0.6496815286624203
diabetes,knn,0.6506024096385542,0.6506024096385542
diabetes,knn,0.6428571428571429,0.6385542168674699
diabetes,knn,0.6751592356687898,0.6751592356687898
diabetes,knn,0.6918238993710691,0.6918238993710691
diabetes,knn,0.6211180124223602,0.6211180124223602
diabetes,knn,0.6060606060606061,0.6024096385542168
diabetes,knn,0.7045454545454546,0.7045454545454546
diabetes,knn,0.6666666666666666,0.6706586826347305
diabetes,knn,0.6086956521739131,0.6086956521739131
diabetes,knn,0.6625766871165645,0.6625766871165645
diabetes,knn,0.6540880503144653,0.6540880503144653
diabetes,knn,0.6265060240963856,0.6227544910179641
diabetes,knn,0.6506024096385542,0.6506024096385542
diabetes,knn,0.6419753086419754,0.6419753086419754
diabetes,knn,0.6909090909090909,0.6909090909090909
diabetes,knn,0.6666666666666666,0.6742857142857142
hill_valley,random_forest,0.989010989010989,0.9917355371900827
hill_valley,random_forest,0.9972451790633609,1.0
hill_valley,random_forest,0.9917808219178081,0.978021978021978
hill_valley,random_forest,0.989010989010989,0.9834254143646408
hill_valley,random_forest,0.9890710382513661,0.9808219178082191
hill_valley,random_forest,1.0,0.9781420765027322
hill_valley,random_forest,0.9807162534435261,0.9749303621169916
hill_valley,random_forest,0.994535519125683,0.9836065573770493
hill_valley,random_forest,0.989010989010989,0.9863760217983651
hill_valley,random_forest,0.9918256130790191,0.9917808219178081
hill_valley,random_forest,0.994535519125683,0.978021978021978
hill_valley,random_forest,0.994535519125683,0.9863760217983651
hill_valley,random_forest,0.9972602739726028,0.9917808219178081
hill_valley,random_forest,0.9835164835164835,0.9807162534435261
hill_valley,random_forest,0.9945054945054945,0.9723756906077348
hill_valley,random_forest,0.989010989010989,0.989010989010989
hill_valley,random_forest,0.9972602739726028,0.9836065573770493
hill_valley,random_forest,0.9695290858725762,0.9693593314763231
hill_valley,random_forest,0.9917355371900827,0.9834254143646408
hill_valley,random_forest,0.9945054945054945,0.9889502762430938
hill_valley,random_forest,0.9972451790633609,0.9805013927576602
hill_valley,random_forest,0.9782608695652174,0.9728260869565217
hill_valley,random_forest,0.9972451790633609,0.9889502762430938
hill_valley,random_forest,0.9918256130790191,0.9918256130790191
hill_valley,random_forest,0.9890710382513661,0.9807162534435261
hill_valley,random_forest,0.994535519125683,0.9862258953168045
hill_valley,random_forest,0.9917355371900827,0.9889502762430938
hill_valley,random_forest,0.9863760217983651,0.9836956521739131
hill_valley,random_forest,0.9972602739726028,0.9862258953168045
hill_valley,random_forest,0.9972451790633609,0.9916897506925207
hill_valley,decision_tree,0.8309455587392549,0.838150289017341
hill_valley,decision_tree,0.7944444444444445,0.8099173553719009
hill_valley,decision_tree,0.8767123287671232,0.8719346049046321
hill_valley,decision_tree,0.8238636363636364,0.8347338935574229
hill_valley,decision_tree,0.8626373626373627,0.8760330578512395
hill_valley,decision_tree,0.8126649076517151,0.8225806451612903
hill_valley,decision_tree,0.825136612021858,0.8077994428969358
hill_valley,decision_tree,0.8736263736263735,0.868632707774799
hill_valley,decision_tree,0.8666666666666666,0.8446866485013623
hill_valley,decision_tree,0.8619718309859156,0.8499999999999999
hill_valley,decision_tree,0.8296703296703297,0.8355795148247978
hill_valley,decision_tree,0.9070422535211268,0.8264462809917354
hill_valley,decision_tree,0.8181818181818181,0.8123249299719889
hill_valley,decision_tree,0.8913649025069638,0.839779005524862
hill_valley,decision_tree,0.832876712328767,0.823529411764706
hill_valley,decision_tree,0.8611111111111112,0.8486486486486486
hill_valley,decision_tree,0.8205128205128205,0.8315217391304348
hill_valley,decision_tree,0.8310249307479224,0.828169014084507
hill_valley,decision_tree,0.8815426997245179,0.868347338935574
hill_valley,decision_tree,0.8021978021978022,0.830188679245283
hill_valley,decision_tree,0.9152542372881357,0.8595041322314049
hill_valley,decision_tree,0.8619718309859156,0.8619718309859156
hill_valley,decision_tree,0.88,0.8783068783068784
hill_valley,decision_tree,0.821529745042493,0.8305084745762712
hill_valley,decision_tree,0.8571428571428571,0.8587570621468927
hill_valley,decision_tree,0.8461538461538461,0.9047619047619048
hill_valley,decision_tree,0.8516483516483516,0.8369565217391305
hill_valley,decision_tree,0.8342541436464089,0.8277777777777777
hill_valley,decision_tree,0.837465564738292,0.8186813186813187
hill_valley,decision_tree,0.840108401084011,0.8418230563002682
hill_valley,mlp,0.8847184986595176,0.8983050847457628
hill_valley,mlp,0.8806366047745358,0.8846153846153846
hill_valley,mlp,0.8791208791208791,0.8267477203647416
hill_valley,mlp,0.8279883381924198,0.8409090909090909
hill_valley,mlp,0.87434554973822,0.7914110429447854
hill_valley,mlp,0.8882521489971346,0.9141274238227146
hill_valley,mlp,0.8842105263157896,0.8846153846153846
hill_valley,mlp,0.9111111111111112,0.9090909090909091
hill_valley,mlp,0.9209809264305178,0.9184782608695652
hill_valley,mlp,0.8770949720670391,0.8919667590027701
hill_valley,mlp,0.8795518207282913,0.8681318681318682
hill_valley,mlp,0.8924731182795699,0.893150684931507
hill_valley,mlp,0.8362720403022671,0.8994413407821229
hill_valley,mlp,0.8641304347826088,0.8571428571428571
hill_valley,mlp,0.8957746478873239,0.9056603773584906
hill_valley,mlp,0.8563049853372434,0.8840970350404312
hill_valley,mlp,0.8275862068965518,0.845303867403315
hill_valley,mlp,0.8617886178861789,0.8716577540106952
hill_valley,mlp,0.8461538461538461,0.9016393442622951
hill_valley,mlp,0.8715083798882681,0.8828337874659401
hill_valley,mlp,0.8695652173913043,0.8895027624309393
hill_valley,mlp,0.8908045977011494,0.9016393442622951
hill_valley,mlp,0.8654353562005277,0.8736842105263157
hill_valley,mlp,0.8515406162464987,0.8650137741046833
hill_valley,mlp,0.8463611859838275,0.8631578947368421
hill_valley,mlp,0.9218328840970349,0.9157303370786517
hill_valley,mlp,0.9056603773584906,0.9027027027027027
hill_valley,mlp,0.9060773480662984,0.9135135135135135
hill_valley,mlp,0.8571428571428571,0.8882978723404256
hill_valley,mlp,0.8676056338028169,0.8846153846153846
hill_valley,knn,1.0,1.0
hill_valley,knn,0.994535519125683,0.994535519125683
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
hill_valley,knn,0.9972602739726028,0.9972602739726028
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
hill_valley,knn,0.9918256130790191,0.9918256130790191
hill_valley,knn,1.0,1.0
hill_valley,knn,1.0,1.0
ionosphere,random_forest,0.9066666666666667,0.9066666666666667
ionosphere,random_forest,0.9610389610389611,0.9487179487179489
ionosphere,random_forest,0.9210526315789473,0.9210526315789473
ionosphere,random_forest,0.9610389610389611,0.9743589743589743
ionosphere,random_forest,0.9090909090909091,0.9113924050632912
ionosphere,random_forest,0.860759493670886,0.9268292682926829
ionosphere,random_forest,0.9210526315789473,0.9620253164556963
ionosphere,random_forest,0.9230769230769231,0.8888888888888888
ionosphere,random_forest,0.9610389610389611,0.9610389610389611
ionosphere,random_forest,0.8,0.8
ionosphere,random_forest,0.9367088607594938,0.9367088607594938
ionosphere,random_forest,0.9268292682926829,0.9500000000000001
ionosphere,random_forest,0.9620253164556963,0.9382716049382717
ionosphere,random_forest,0.9268292682926829,0.9268292682926829
ionosphere,random_forest,0.9487179487179489,0.9487179487179489
ionosphere,random_forest,0.9135802469135803,0.9135802469135803
ionosphere,random_forest,0.9268292682926829,0.9367088607594938
ionosphere,random_forest,0.8831168831168831,0.8831168831168831
ionosphere,random_forest,0.9500000000000001,0.9382716049382717
ionosphere,random_forest,0.9610389610389611,0.9459459459459458
ionosphere,random_forest,0.9487179487179489,0.935064935064935
ionosphere,random_forest,0.9487179487179489,0.9620253164556963
ionosphere,random_forest,0.9090909090909091,0.9230769230769231
ionosphere,random_forest,0.8648648648648649,0.8918918918918918
ionosphere,random_forest,0.9210526315789473,0.9090909090909091
ionosphere,random_forest,0.9268292682926829,0.9268292682926829
ionosphere,random_forest,0.9473684210526315,0.935064935064935
ionosphere,random_forest,0.8461538461538461,0.8571428571428572
ionosphere,random_forest,0.9500000000000001,0.9367088607594938
ionosphere,random_forest,0.9500000000000001,0.9610389610389611
ionosphere,decision_tree,0.9166666666666667,0.8888888888888888
ionosphere,decision_tree,0.8571428571428572,0.88
ionosphere,decision_tree,0.7500000000000001,0.7500000000000001
ionosphere,decision_tree,0.8571428571428572,0.8461538461538461
ionosphere,decision_tree,0.8157894736842104,0.8051948051948051
ionosphere,decision_tree,0.904109589041096,0.8378378378378377
ionosphere,decision_tree,0.8831168831168831,0.9066666666666667
ionosphere,decision_tree,0.8421052631578947,0.8493150684931505
ionosphere,decision_tree,0.8974358974358975,0.9066666666666667
ionosphere,decision_tree,0.7837837837837838,0.868421052631579
ionosphere,decision_tree,0.8500000000000001,0.8571428571428572
ionosphere,decision_tree,0.88,0.860759493670886
ionosphere,decision_tree,0.8767123287671234,0.810126582278481
ionosphere,decision_tree,0.8648648648648649,0.8311688311688312
ionosphere,decision_tree,0.8311688311688312,0.8205128205128205
ionosphere,decision_tree,0.9066666666666667,0.9066666666666667
ionosphere,decision_tree,0.8311688311688312,0.8205128205128205
ionosphere,decision_tree,0.8378378378378377,0.8493150684931505
ionosphere,decision_tree,0.7951807228915663,0.8048780487804879
ionosphere,decision_tree,0.8395061728395061,0.8571428571428572
ionosphere,decision_tree,0.7605633802816901,0.7945205479452055
ionosphere,decision_tree,0.8311688311688312,0.8311688311688312
ionosphere,decision_tree,0.8311688311688312,0.8266666666666665
ionosphere,decision_tree,0.8947368421052632,0.9473684210526315
ionosphere,decision_tree,0.8831168831168831,0.935064935064935
ionosphere,decision_tree,0.8860759493670887,0.8433734939759038
ionosphere,decision_tree,0.868421052631579,0.8055555555555555
ionosphere,decision_tree,0.8169014084507042,0.7887323943661972
ionosphere,decision_tree,0.8780487804878049,0.8780487804878049
ionosphere,decision_tree,0.8205128205128205,0.8918918918918918
ionosphere,mlp,0.9156626506024096,0.8941176470588235
ionosphere,mlp,0.9500000000000001,0.9500000000000001
ionosphere,mlp,0.9367088607594938,0.9113924050632912
ionosphere,mlp,0.891566265060241,0.9135802469135803
ionosphere,mlp,0.9156626506024096,0.9156626506024096
ionosphere,mlp,0.8860759493670887,0.8888888888888888
ionosphere,mlp,0.9870129870129869,0.9743589743589743
ionosphere,mlp,0.9024390243902439,0.891566265060241
ionosphere,mlp,0.9135802469135803,0.9382716049382717
ionosphere,mlp,0.9024390243902439,0.9268292682926829
ionosphere,mlp,0.9487179487179489,0.9367088607594938
ionosphere,mlp,0.8505747126436782,0.8505747126436782
ionosphere,mlp,0.9135802469135803,0.925
ionosphere,mlp,0.8674698795180723,0.891566265060241
ionosphere,mlp,0.8351648351648352,0.8351648351648352
ionosphere,mlp,0.8571428571428572,0.8641975308641974
ionosphere,mlp,0.9230769230769231,0.9473684210526315
ionosphere,mlp,0.8674698795180723,0.8705882352941177
ionosphere,mlp,0.9268292682926829,0.9156626506024096
ionosphere,mlp,0.9135802469135803,0.925
ionosphere,mlp,0.9135802469135803,0.925
ionosphere,mlp,0.9500000000000001,0.9500000000000001
ionosphere,mlp,0.925,0.9156626506024096
ionosphere,mlp,0.9210526315789473,0.935064935064935
ionosphere,mlp,0.9268292682926829,0.9382716049382717
ionosphere,mlp,0.9135802469135803,0.9268292682926829
ionosphere,mlp,0.9382716049382717,0.9500000000000001
ionosphere,mlp,0.9,0.9024390243902439
ionosphere,mlp,0.8837209302325582,0.8735632183908045
ionosphere,mlp,0.925,0.9268292682926829
ionosphere,knn,0.8636363636363636,0.8351648351648352
ionosphere,knn,0.8444444444444443,0.8351648351648352
ionosphere,knn,0.8505747126436782,0.8409090909090909
ionosphere,knn,0.8636363636363636,0.8444444444444443
ionosphere,knn,0.8539325842696629,0.8636363636363636
ionosphere,knn,0.8222222222222223,0.8314606741573034
ionosphere,knn,0.8222222222222223,0.8222222222222223
ionosphere,knn,0.8172043010752689,0.8172043010752689
ionosphere,knn,0.8172043010752689,0.8444444444444443
ionosphere,knn,0.8837209302325582,0.8636363636363636
ionosphere,knn,0.7912087912087911,0.7912087912087911
ionosphere,knn,0.8351648351648352,0.8444444444444443
ionosphere,knn,0.7789473684210527,0.7708333333333335
ionosphere,knn,0.8085106382978724,0.8172043010752689
ionosphere,knn,0.8444444444444443,0.8351648351648352
ionosphere,knn,0.8314606741573034,0.8505747126436782
ionosphere,knn,0.7956989247311828,0.8131868131868132
ionosphere,knn,0.8351648351648352,0.8260869565217391
ionosphere,knn,0.8735632183908045,0.8636363636363636
ionosphere,knn,0.7916666666666666,0.8085106382978724
